"site","ent","sitio","red","red_name","cve_ent","nom_ent","cve_mun","nom_mun","cve_sun","nom_sun","pob_2018","cve_loc","nom_loc","entidad"
"CESPM","Baja California","Mexicali","Mexicali","Mexicali","02","Baja California","02002","Mexicali","M02.02","Mexicali",1065882.36661,NA,NA,"Baja California"
"COB","Baja California","Mexicali","Mexicali","Mexicali","02","Baja California","02002","Mexicali","M02.02","Mexicali",1065882.36661,NA,NA,"Baja California"
"ITT","Baja California","Tijuana","Tijuana","Tijuana","02","Baja California","02004","Tijuana","M02.03","Tijuana",1798741.05247,NA,NA,"Baja California"
"LAB","Baja California","Tijuana","Tijuana","Tijuana","02","Baja California","02004","Tijuana","M02.03","Tijuana",1798741.05247,NA,NA,"Baja California"
"LAM","Baja California","Tijuana","Tijuana","Tijuana","02","Baja California","02004","Tijuana","M02.03","Tijuana",1798741.05247,NA,NA,"Baja California"
"PLA","Baja California","Tijuana","Tijuana","Tijuana","02","Baja California","02004","Tijuana","M02.03","Tijuana",1798741.05247,NA,NA,"Baja California"
"ROS","Baja California","Rosarito","Rosarito","Rosarito","02","Baja California","02005","Playas de Rosarito","M02.03","Tijuana",110682.85015,NA,NA,"Baja California"
"UABC","Baja California","Mexicali","Mexicali","Mexicali","02","Baja California","02002","Mexicali","M02.02","Mexicali",1065882.36661,NA,NA,"Baja California"
"UPBC","Baja California","Mexicali","Mexicali","Mexicali","02","Baja California","02002","Mexicali","M02.02","Mexicali",1065882.36661,NA,NA,"Baja California"
"ACO","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15002","Acolman","M09.01","Valle de México",196696.01515,NA,NA,"Estado de México"
"AJM","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09012","Tlalpan","M09.01","Valle de México",667259.93616,NA,NA,"Ciudad de México"
"ATI","Ciudad de México","ZMVM","ZMVM","Valle de México","15","México","15013","Atizapán de Zaragoza","M09.01","Valle de México",555364.33125,NA,NA,"Estado de México"
"AZC","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09002","Azcapotzalco","M09.01","Valle de México",400566.63144,NA,NA,"Ciudad de México"
"BJU","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09014","Benito Juárez","M09.01","Valle de México",393116.65596,NA,NA,"Ciudad de México"
"CAM","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09002","Azcapotzalco","M09.01","Valle de México",400566.63144,NA,NA,"Ciudad de México"
"CCA","Ciudad de México","ZMVM","ZMVM","Valle de México","09","Distrito Federal","09003","Coyoacán","M09.01","Valle de México",604363.98988,NA,NA,"Ciudad de México"
